SYSMES_CONF_000,サウンドの設定を行います,Modifier les paramètres audio.,设置声音,設定遊戲聲音
SYSMES_CONF_152,周瀬 律架のボイス音量を設定します,Volume des voix de Ritsuka Suse.,设置周濑律架的语音音量,設定周瀨 律架的語音音量
SYSMES_CONF_153,周瀬 律架のボイス音量を下げます,Baisser le volume des voix de Ritsuka Suse.,降低周濑律架的语音音量,調低周瀨 律架的語音音量
SYSMES_CONF_154,周瀬 律架のボイス音量を上げます,Augmenter le volume des voix de Ritsuka Suse.,提高周濑律架的语音音量,調高周瀨 律架的語音音量
SYSMES_CONF_155,周瀬 唯架のボイス出力を設定します,Modifier le volume des voix de Yuika Suse.,设置周濑唯架的语音输出,設定周瀨 唯架的語音輸出
SYSMES_CONF_156,周瀬 唯架のボイス音量を設定します,Volume des voix de Yuika Suse.,设置周濑唯架的语音音量,設定周瀨 唯架的語音音量
SYSMES_CONF_157,周瀬 唯架のボイス音量を下げます,Baisser le volume des voix de Yuika Suse.,降低周濑唯架的语音音量,調低周瀨 唯架的語音音量
SYSMES_CONF_158,周瀬 唯架のボイス音量を上げます,Augmenter le volume des voix de Yuika Suse.,提高周濑唯架的语音音量,調高周瀨 唯架的語音音量
SYSMES_CONF_159,蒼崎 橙子のボイス出力を設定します,Modifier le volume des voix de Tōko Aozaki.,设置苍崎橙子的语音输出,設定蒼崎 橙子的語音輸出
SYSMES_CONF_160,蒼崎 橙子のボイス音量を設定します,Volume des voix de Tōko Aozaki.,设置苍崎橙子的语音音量,設定蒼崎 橙子的語音音量
SYSMES_CONF_161,蒼崎 橙子のボイス音量を下げます,Baisser le volume des voix de Tōko Aozaki.,降低苍崎橙子的语音音量,調低蒼崎 橙子的語音音量
SYSMES_CONF_162,蒼崎 橙子のボイス音量を上げます,Augmenter le volume des voix de Tōko Aozaki.,提高苍崎橙子的语音音量,調高蒼崎 橙子的語音音量
SYSMES_CONF_163,ルゥ・ベオウルフのボイス出力を設定します,Modifier le volume des voix de Lugh Beowulf.,设置鲁格・贝奥武夫的语音输出,設定魯格‧貝奧武夫的語音輸出
SYSMES_CONF_164,ルゥ・ベオウルフのボイス音量を設定します,Volume des voix de Lugh Beowulf.,设置鲁格・贝奥武夫的语音音量,設定魯格‧貝奧武夫的語音音量
SYSMES_CONF_165,ルゥ・ベオウルフのボイス音量を下げます,Baisser le volume des voix de Lugh Beowulf.,降低鲁格・贝奥武夫的语音音量,調低魯格‧貝奧武夫的語音音量
SYSMES_CONF_166,ルゥ・ベオウルフのボイス音量を上げます,Augmenter le volume des voix de Lugh Beowulf.,提高鲁格・贝奥武夫的语音音量,調高魯格‧貝奧武夫的語音音量
SYSMES_CONF_167,メイ・リデル・アーシェロットのボイス出力を設定します,Modifier le volume des voix de May Riddell Archelot.,设置梅・莉黛尔・阿切洛特的语音输出,設定梅‧莉黛爾‧阿切洛特的語音輸出
SYSMES_CONF_168,メイ・リデル・アーシェロットのボイス音量を設定します,Volume des voix de May Riddell Archelot.,设置梅・莉黛尔・阿切洛特的语音音量,設定梅‧莉黛爾‧阿切洛特的語音音量
SYSMES_CONF_169,メイ・リデル・アーシェロットのボイス音量を下げます,Baisser le volume des voix de May Riddell Archelot.,降低梅・莉黛尔・阿切洛特的语音音量,調低梅‧莉黛爾‧阿切洛特的語音音量
SYSMES_CONF_170,メイ・リデル・アーシェロットのボイス音量を上げます,Augmenter le volume des voix de May Riddell Archelot.,提高梅・莉黛尔・阿切洛特的语音音量,調高梅‧莉黛爾‧阿切洛特的語音音量
SYSMES_CONF_171,土桔 由里彦のボイス出力を設定します,Modifier le volume des voix de Yurihiko Tokitsu.,设置土桔由里彦的语音输出,設定土桔 由里彥的語音輸出
SYSMES_CONF_172,土桔 由里彦のボイス音量を設定します,Volume des voix de Yurihiko Tokitsu.,设置土桔由里彦的语音音量,設定土桔 由里彥的語音音量
SYSMES_CONF_173,土桔 由里彦のボイス音量を下げます,Baisser le volume des voix de Yurihiko Tokitsu.,降低土桔由里彦的语音音量,調低土桔 由里彥的語音音量
SYSMES_CONF_174,土桔 由里彦のボイス音量を上げます,Augmenter le volume des voix de Yurihiko Tokitsu.,提高土桔由里彦的语音音量,調高土桔 由里彥的語音音量
SYSMES_CONF_200,テキストの設定を行います,Modifier les paramètres de texte.,设置文本,設定遊戲文字
SYSMES_CONF_201,テキストの設定を初期設定に戻します,Réinitialiser les paramètres de texte.,将文本设置恢复为初始设置,將遊戲文字恢復為初始設定
SYSMES_CONF_202,文字の表示速度を調整します,Modifier la vitesse d'affichage du texte.,调整文字显示速度,調整文字顯示速度
SYSMES_CONF_203,文字の表示速度を遅くします,Réduire la vitesse d'affichage du texte.,减慢文字显示速度,調慢文字顯示速度
SYSMES_CONF_204,文字の表示速度を速くします,Augmenter la vitesse d'affichage du texte.,加快文字显示速度,調快文字顯示速度
SYSMES_CONF_205,オートモードの速度を調整します,Modifier la vitesse du défilement auto.,调整自动模式速度,調整自動模式速度
SYSMES_CONF_206,オートモードの速度を遅くします,Réduire la vitesse du défilement auto.,减慢自动模式速度,調慢自動模式速度
SYSMES_CONF_207,オートモードの速度を速くします,Augmenter la vitesse du défilement auto.,加快自动模式速度,調快自動模式速度
SYSMES_CONF_208,ウィンドウの透明度を変更します,Modifier l'opacité de la fenêtre.,变更窗口透明度,變更視窗透明度
SYSMES_CONF_209,ウィンドウを薄くします,Réduire l'opacité de la fenêtre.,将窗口变淡,調淡視窗透明度
SYSMES_CONF_210,ウィンドウを濃くします,Augmenter l'opacité de la fenêtre.,将窗口变浓,調深視窗透明度
SYSMES_CONF_211,文字に縁取りを付けません,Ne pas afficher les contours de texte.,无文字描边,不顯示文字外框
SYSMES_CONF_212,文字に縁取りを付けます,Afficher les contours de texte.,有文字描边,顯示文字外框
SYSMES_CONF_213,文字に影を付けません,Ne pas afficher les ombres des textes.,有文字阴影,不顯示文字陰影
SYSMES_CONF_214,文字に影を付けます,Afficher les ombres de textes..,无文字阴影,顯示文字陰影
SYSMES_CONF_215,文字の色を固定します,Couleur des textes uniforme.,固定文字颜色,固定文字顏色
SYSMES_CONF_216,既読文の文字の色を変更します,Modifier la couleur des textes lus.,变更已读内容的文字颜色,變更已讀文字顏色
SYSMES_CONF_217,ウィンドウのデザインを変更します,Change window design.,变更窗口尺寸,變更視窗設計
SYSMES_CONF_218,言語を変更します,Modifier la langue.,变更语言,變更語言
SYSMES_CONF_300,動作の設定を行います,Modifier d'autres paramètres.,设置操作,設定遊戲動作
SYSMES_CONF_301,動作の設定を初期設定に戻します,Réinitialiser les paramètres.,将操作设置恢复为初始设置,將遊戲動作恢復為初始設定
SYSMES_CONF_302,全ての文章をスキップ可能にします,Rendre tous les textes passables.,允许跳过所有文章,全部文字皆可以跳過
SYSMES_CONF_303,既読文のみスキップ可能にします,Rendre tous les textes lus passables.,只允许跳过已读内容,僅限已讀文字可以跳過
SYSMES_CONF_304,選択肢でスキップを解除しません,Rendre les choix passables.,遇到选项时不解除跳过,出現選項時不解除跳過
SYSMES_CONF_305,選択肢でスキップを解除します,Empêcher de passer les choix.,遇到选项时解除跳过,出現選項時解除跳過
SYSMES_CONF_306,選択肢での自動クイックセーブを設定します,Sauv. rapide auto. à chaque choix.,设置遇到选项时的自动快速存档,設定出現選項時是否自動快速保存
SYSMES_CONF_307,選択肢で自動クイックセーブしません,Désactive la sauv. auto. à chaque choix.,遇到选项时不进行自动快速存档,出現選項時不自動快速保存
SYSMES_CONF_308,選択肢で自動クイックセーブします,Active la sauv. auto. à chaque choix..,遇到选项时进行自动快速存档,出現選項時自動快速保存
SYSMES_CONF_309,シーンの頭での自動クイックセーブを設定します,Auto quick save settings for start of scene.,设置场景开始时的自动快速存档,設定場景開頭是否自動快速保存
SYSMES_CONF_310,シーンの頭で自動クイックセーブしません,Disable auto quick save at the start of scenes.,在场景开始时不进行自动快速存档,場景開頭時不自動快速保存
SYSMES_CONF_311,シーンの頭で自動クイックセーブします,Enable auto quick save at the start of scenes.,在场景开始时进行自动快速存档,場景開頭時自動快速保存
SYSMES_CONF_312_PS4,ボタンのヘルプテキストを表示しません,Désactiver les infobulles sur les boutons.,不显示按键的帮助文本,不顯示按鈕說明文字
SYSMES_CONF_313_PS4,ボタンのヘルプテキストを表示します,Afficher les infobulles sur les boutons.,显示按键的帮助文本,顯示按鈕說明文字
SYSMES_CONF_312_NX,ボタンのヘルプテキストを表示しません,Désactiver les infobulles sur les boutons.,不显示按钮的帮助文本,不顯示按鍵說明文字
SYSMES_CONF_313_NX,ボタンのヘルプテキストを表示します,Afficher les infobulles sur les boutons.,显示按钮的帮助文本,顯示按鍵說明文字
SYSMES_CONF_314,コントローラーの振動機能をＯＦＦにします,Désactiver les vibrations de la manette.,关闭控制器的振动功能,關閉控制器震動功能
SYSMES_CONF_315,コントローラーの振動機能をＯＮにします,Activer les vibrations de la manette.,打开控制器的振动功能,開啟控制器震動功能
SYSMES_CONF_316,フル,Plein écran.,全屏,全螢幕
SYSMES_CONF_317,ウィンドウ,Fenêtré.,窗口,視窗
SYSMES_CONF_318,ノーマル,Normal.,正常,普通
SYSMES_CONF_319,バイキュービック,Bicubic.,双三次插值,雙三次插值
SYSMES_CONF_400,操作説明を表示します,Description des contrôles.,显示操作说明,顯示操作說明
SYSMES_MENU_000,セーブします,Sauvegardes.,存档,保存
SYSMES_MENU_001,ロードします,Charger.,读档,載入
SYSMES_MENU_002,環境設定を行います,Accéder aux paramètres.,设置环境,設定遊戲環境
SYSMES_MENU_003,ボイス鑑賞を行います,Écouter les voix.,欣赏语音,鑑賞遊戲語音
SYSMES_MENU_004,システムデータをセーブします,Sauvegarder les données.,保存系统数据,保存系統資料
SYSMES_MENU_005,タイトルに戻ります,Retourner au menu titre.,返回标题界面,返回標題畫面
SYSMES_MENU_006,メニューを閉じます,Fermer le menu.,关闭菜单,關閉選單
SYSMES_MENU_007,選択画面に戻ります,Retour à l'écran de sélection.,返回选择屏幕,返回選擇畫面
SYSMES_MENU_008,終了します,Quitter.,结束游戏,結束遊戲
SYSMES_MODE_000,前のシーン、選択肢までジャンプします,Revenir au choix précédent.,跳转至上一个场景、选项,跳至上一個場景的選項
SYSMES_MODE_001,次のシーン、選択肢までジャンプします,Aller au choix suivant.,跳转至下一个场景、选项,跳至下一個場景的選項
SYSMES_MODE_002,押している間、早戻しします,Gardez appuyé pour revenir en arrière. Relâchez pour arrêter.,按下时会快退,按住時倒轉
SYSMES_MODE_003,押している間、早送りします,Gardez appuyé pour avancer. Relâchez pour arrêter.,按下时会快进,按住時快轉
SYSMES_MODE_004,オートモードのＯＮ、ＯＦＦを切り替えます,Activer/désactiver le déffilement auto.,打开、关闭自动模式,開啟或關閉自動模式
SYSMES_MODE_005,クイックセーブを行います,Sauvegarde rapide.,进行快速存档,進行快速保存
SYSMES_MODE_006,クイックロードを行います,Charger une sauvegarde rapide.,进行快速读档,進行快速載入
SYSMES_MODE_007,ボイスを再生します,Listen to voice recording.,播放语音,播放語音
SYSMES_MODE_008,バックログを開きます,Ouvrir l'historique.,打开回顾前文,開啟履歷
SYSMES_SAVE_000,セーブしますか？,Enregistrer cette sauvegarde ?,是否存档？,是否要保存？
SYSMES_SAVE_001,ロードしますか？,Charger cette sauvegarde ?,是否读档？,是否要載入？
SYSMES_SAVE_002,上書きしますか？,Remplacer cette sauvegarde ?,是否覆盖？,是否要覆蓋？
SYSMES_SAVE_003,コピーしますか？,Copier cette sauvegarde ?,是否复制？,是否要複製？
SYSMES_SAVE_004,削除しますか？,Supprimer cette sauvegarde ?,是否删除？,是否要刪除？
SYSMES_SAVE_005,セーブ中です,Enregistrement...,正在存档,正在保存
SYSMES_SAVE_006,ロード中です,Chargement...,正在读档,正在載入
SYSMES_SAVE_007,チェック中です,Vérification...,正在检查,正在確認
SYSMES_SAVE_008,セーブデータのチェックに失敗しました。^データが破損している可能性があります,Unable to check save data.^The data may be corrupted.,存档数据检查失败。数据可能已损坏。,保存資料確認失敗。資料可能毀損
SYSMES_SAVE_009,コピー中です,Copie...,正在复制,正在複製
SYSMES_SAVE_010,削除中です,Suppression...,正在删除,正在刪除
SYSMES_SAVE_011,セーブに失敗しました,Impossible de sauvegarder.,存档失败,保存失敗
SYSMES_SAVE_012,ロードに失敗しました,Impossible de charger.,读档失败,載入失敗
SYSMES_SAVE_013,セーブが終了しました,Savegarde terminée !,存档完毕,保存完成
SYSMES_SAVE_014,ロードが終了しました,Chargement terminé !,读档完毕,載入完成
SYSMES_SAVE_015,セーブデータがありません,Aucune sauvegarde trouvé.,无存档数据,找不到保存資料
SYSMES_SAVE_016,セーブをキャンセルしますか？,Annuler la création de cette sauvegarde ?,是否取消存档？,是否要取消保存？
SYSMES_SAVE_017,ロードをキャンセルしますか？,Annuler le chargement de cette sauvegarde ?,是否取消读档？,是否要取消載入？
SYSMES_SAVE_018,セーブを続行しますか？,Voulez-vous reprendre la sauvegarde ?,是否继续存档？,是否要繼續保存？
SYSMES_SAVE_019,ロードを続行しますか？,Voulez-vous reprendre le chargement ?,是否继续读档？,是否要繼續載入？
SYSMES_SAVE_020,システムデータをセーブしますか？,Do you want to save system data?,是否保存系统数据？,是否要保存系統資料？
SYSMES_SAVE_021,システムデータをロードしますか？,Do you want to load system data?,是否读取系统数据？,是否要載入系統資料？
SYSMES_SAVE_022,システムデータを上書きしますか？,Do you want to overwrite system data?,是否覆盖系统数据？,是否要覆蓋系統資料？
SYSMES_SAVE_023,システムデータをセーブ中です,Saving system data...,正在保存系统数据,正在保存系統資料
SYSMES_SAVE_024,システムデータをロード中です,Loading system data...,正在读取系统数据,正在載入系統資料
SYSMES_SAVE_025,システムデータがありません,No system data found.,无系统数据,找不到系統資料
SYSMES_SAVE_026,システムデータのセーブに失敗しました,Unable to save system data.,系统数据保存失败,系統資料保存失敗
SYSMES_SAVE_027,システムデータのロードに失敗しました。^データが破損している可能性があります,Unable to load system data.^The data may be corrupted.,系统数据读取失败。数据可能已损坏。,系統資料載入失敗。資料可能毀損
SYSMES_SAVE_028,システムデータのセーブに成功しました,System data saved.,已成功保存系统数据,系統資料保存成功
SYSMES_SAVE_029,システムデータのロードに成功しました,System data loaded.,已成功读取系统数据,系統資料載入成功
SYSMES_SAVE_030,ファイルが壊れています,Le fichier est corrompu.,文件已损坏,檔案已損壞
SYSMES_SAVE_031,データが破損しているので、上書きします,"Cette donnée est corrompue,^elles va être écrasée.",由于数据已损坏，因此将进行覆盖,資料已損毀，即將覆蓋資料
SYSMES_SAVE_032,空き容量が不足しています,Mémoire insuffisante.,剩余容量不足,可用空間不足
SYSMES_SAVE_033,フォーマットを実行しますか？,Éxécuter le formattage ?,是否执行格式化？,是否要格式化？
SYSMES_SAVE_034,データ無し,Aucune donnée,无数据,沒有資料
SYSMES_SAVE_035,セーブデータを作成します,Créer une sauvegarde.,生成存档数据,製作保存資料
SYSMES_SAVE_036,セーブデータのバージョンが異なります,Save data is a different version.,存档数据版本不同。,保存資料的版本不符
SYSMES_SAVE_037,システムデータのバージョンが異なります,System data is a different version.,系统数据版本不同。,系統資料的版本不符
SYSMES_TITLE_000,ゲームを最初から開始します,Commencer une nouvelle partie.,将从头开始游戏,從頭開始遊玩
SYSMES_TITLE_001,最新のセーブファイルでゲームを再開します,Load game data from the last save.,将用最新的存档文件继续游戏,使用最新的保存檔案繼續進行遊戲
SYSMES_TITLE_002,ロードします,Charger les données.,读档,載入
SYSMES_TITLE_003,環境設定を行います,Configure system settings.,设置环境,設定遊戲環境
SYSMES_TITLE_004,鑑賞モードに入ります,Ouvrir la galerie.,进入欣赏模式,進入鑑賞模式
SYSMES_TITLE_005,ＣＧを鑑賞します,Voir les images.,观赏CG,鑑賞CG
SYSMES_TITLE_006,書庫を鑑賞します,Consulter les archives.,鉴赏档案,鑑賞資料庫
SYSMES_TITLE_007,音楽を鑑賞します,Écouter les musiques.,欣赏音乐,鑑賞音樂
SYSMES_TITLE_008,ボイスを鑑賞します,Écouter les voix.,欣赏语音,鑑賞語音
SYSMES_TITLE_009,タイトルへ戻ります,Revenir au menu titre.,返回标题界面,返回標題畫面
SYSMES_TITLE_010,追加シナリオをプレイします,Play extra scenarios.,观看追加剧情,遊玩追加劇情
SYSMES_COMM_000,キャンセルしますか？,Annuler ?,是否取消？,是否要取消？
SYSMES_COMM_001,タイトルに戻りますか？,Revenir au menu titre ?,是否返回标题界面？,是否要返回標題畫面？
SYSMES_COMM_002,クイックロードしますか？,Do you want to perform^a quick load?,是否快速读档？,是否要快速載入？
SYSMES_COMM_003,クイックジャンプしますか？,Do you want to perform a quick jump?,是否快速跳过？,是否要快速跳轉？
SYSMES_COMM_004,次のシーン、選択肢まで進みますか？,Se rendre au prochain choix ?,是否前进至下一个场景、选项？,是否要跳至下一個場景的選項？
SYSMES_COMM_005,前のシーン、選択肢まで戻りますか？,Revenir au choix précédent ?,是否返回至上一个场景、选项？,是否要返回上一個場景的選項？
SYSMES_COMM_006,書庫の選択画面に戻りますか？,Revenir sur l'écran de sélection^des archives ?,是否返回档案选择屏幕？,是否要返回資料庫選擇畫面？
SYSMES_COMM_007,セーブをせずに終了してもよろしいですか？,Are you sure you want to quit^without saving?,不进行存档直接关闭游戏，确定吗？,是否要不保存就結束遊戲？
