Ligne,Traduction,Espaces placés au début,Révision 2022 (pour référence)
1213,"En tout cas, fais attention aux coins sombres la nuit. Après tout, tu as une tête de pigeon.」",,ともかく、そういうワケなんで夜の暗がりは気をつけるぞなもし。静希、見るからにカモそうな顔してるし」
1231,"Le fait qu'un oiseau tombe,",,鳥が墜ちてくるコトも、
1238,"En revenant de l'église, on m'a offert un petit cadeau au quartier commerçant !",,
1258,"「J'ai quelque chose à te dire à ce propos. Enfin, si on finit les tâches<r>d'aujourd'hui.",,
1260,"「Hein ? De quoi ? Tu me donnes la chair de poule. Ne t'en fais pas pour moi. C'était un jour comme un autre, et puis, tu trouves vraiment que j'ai l'air fatiguée ?」",,
1266,"Voyons, la leçon du jour, c'était les rudiments de la Suggestion, c'est bien ça ?",,
1283,"「Dis-moi Alice, tu n'aurais pas un Ploy spécialisé dans le nettoyage de jardin ?」",,
1289,,0,
1296,,0,
1315,"Après tout, elle se tenait enfin sur la même scène qu'elle après un an<r>d'efforts.",,
1330,"Voyons voir, si je me rappelle bien, le premier verset, c'est “Légèrement. Faiblement. Habilement. Rapidement. Tic tac tic tac, dépêche-toi dépêche-toi”, c'est ça ?」",,えーと、一節目はたしか、“軽く、弱く。巧く、速く。チクタクチクタク　急げや急げ”よね？」
1351,CHANGEMENT DE LA ZONE DE PERCEPTION : DE SUBJECTIVE VERS OBJECTIVE.,,
1359,,1,
1370,"Hey diddle diddle,",,"Hey diddle diddle,"
1379,"The cow jump'd over the moon,",,"The cow jump'd over the moon,"
1387,"On ne percevait pas le souffle du moindre animal, et encore moins celui d'un être humain.",,
1416,,0,
1442,「Bonsoir. Pourrais-je parler à votre maître ?」,,
1451,"Et puis, en dépit de votre apparence, vous semblez être du même niveau que des Mages accomplis.」",,
1452,Son vêtement noir ondula.,,
1478,「Tweedle.」,,
1504,"Broken down, broken down...",,"Broken down,broken down."
1513,,1,
1517,"Après tout, son employeur était lui aussi de ce genre-là, quelqu'un<r>d'étrange.",,
1521,"『Même si le paiement est ennuyeux, si possible, je voudrais le régler en livres sterling !』",,
1541,"Broken down, broken down...",,"Broken down,broken down."
1568,"Son effet était simple, mais c'était aussi ce qui en faisait une arme mortelle et impossible à éviter si elle était utilisée à une aussi courte distance.",,
1636,"『La prochaine fois, pour sûr, on se montrera utiles ! Même si l'échec est notre apanage depuis la naissance !』",,『次、次はお役に立ちますきっと！　生まれてこの方、失敗続きのボクらだけど！』
1667,"「Eh bien... Si le ramassage des ordures ménagères ne rapporte pas d'argent tôt ou tard, l'activité ne sera pas rentable, pas vrai ? Ça veut dire que l'État va bientôt arrêter de s'en occuper gratuitement.」",,「そうだなあ。粗大ゴミ回収は、金でも貰わねえとワリ合わなくなるんじゃねえか？　国が無料で回収するのはそろそろおしまいってトコ」
1668,"「Hein ? Qu'est-ce que tu racontes ? Les vieilles commodes se vendent bien cher, elles !",,「はあ？　なに言ってんのオマエ？　使い古しの箪笥とか高く売れるじゃん！
1669,"Donc quelqu'un “directement prêt à l'emploi” comme moi finira bien par être à la mode un jour, non ? Comme les appareils jetables qui se vendent dans les supérettes et qui sont super populaires. Vous verrez, lorsque la mode sera enfin en phase avec ma manière de consommer...」",0,
1689,「Pourquoi il ne se passe jamais rien d'intéressant ? Quelqu'un ne pourrait pas dessiner un cercle de culture quelque part sur le campus ?」,,「面白いコトねぇなあ。誰か、校庭にミステリーサークルとか作ってくんねぇかなあ」
1695,"「C'est quoi ce fantasme ? Et pourquoi pas une princesse de Mars, tant que t'y es ?」",,
1697,,2,
1706,"Et si jamais il travaillait dans un endroit qui ne rentre pas tout à fait dans le cadre de la loi sur les normes du travail, ça serait gênant, non ? Pour nous comme pour lui.」",,仮に、もし認可していない、労働基準法に反してそうな所で働いてたら困るでしょ、学校も彼も」
1712,"En supposant qu'il ait un travail qui ne respecte pas les règles de l'école, ne serait-ce pas parce que l'école ne répond pas à sa demande ?」",,仮に彼が指定以外のアルバイトをしているとしたら、それは彼の要求に学校側が応えていないからではありませんか？」
1714,"Si vous le soupçonnez de travailler dans des lieux non recommandés par l'école, alors commencez par modifier le règlement qui stipule qu'un élève ne peut avoir qu'un seul emploi.」",,指定外のアルバイトを疑うのなら、まず“働き先は一生徒につき一件だけ”という規則を改めてください」
1756,,0,
1788,"Sōjūrō avait accepté l'alléchante proposition, mais comme à son habitude, il n'avait pas l'air de s'être demandé de quel genre de travail il<r>s'agissait.",,
1810,"Pour Aoko, puisque l'église avait été érigée sournoisement à côté de l'endroit où disparaissaient le plus grand nombre de vies dans cette ville, on ne pouvait pas se fier à elle―――mais les personnes au courant de son opinion se limitaient à Kuonji Alice, sa colocataire, et le prêtre de<r>l'église.",,
1820,,1,
1826,"「Effectivement. Parce que d'habitude, on m'appelle la nuit, et je ne fais que discuter avec le prêtre. Avec toi......",,「そうですね。いつもは夜に呼ばれて、神父さまとだけお話をしていますから。唯架さんとは……
1847,"「Dans ce cas, je ferai comme le veut l'usage...... Vraiment, quelle fastidiosité.」",,
1880,La colline et la forêt dense présentes à la périphérie du vieux quartier de Misaki.,,
1892,,1,
1904,"Tout en lavant la fenêtre voisine de Sōjūrō, la femme parlait gaiement.",,
1917,"「Sōjūrō...... Oui, c'est un beau nom, qui donne une impression<r>d'ancienneté.",,
1953,"「...... Hmm. Je ne comprends pas trop, mais si jamais on se retrouve dans une situation difficile, on peut se rendre ici, c'est ça ?」",,「……はあ。よく分からないですけど、ピンチの時はここに転がりこめばいいんですね？」
1984,"À présent, que dirais-tu d'aller dans un salon de thé décent ? Pour récompenser ton comportement travailleur, c'est moi qui réga―――",,
1998,"「Ah, excuse-moi de t'avoir interrompu. Tu peux te consacrer à ton<r>travail―――」",,
2029,"Les emplois autorisés par l'école étaient limités au quartier marchand du vieux quartier de Misaki, c'était donc le genre de réponse à laquelle elle s'attendait.",,
2071,,2,
2072,,2,
2092,"Si on poussait la comparaison encore plus loin, dans sa campagne, personne n'était chargé de la protection de l'ordre public du village.",,
2176,"Hier, j'ai reçu plein de restes du magasin. Des rouleaux de printemps ! Quand mon père a vu ça, il m'a cassé les oreilles à me dire qu'il ne fallait pas gâcher ce qu'on nous donne. Résultat, je n'ai que ça à manger.」",,オレさあ、昨日店の残り物もらいすぎたんだよ。春巻だよ春巻。それを見た親父がさあ、貰ったモンは残すなってうるさくてさあ。食いもん、春巻きしかねーんだわ」
2182,"「Espèce d'idiot, ce sera sûrement super amusant ! C'est vrai que ça pue la pâtée pour chat, mais au moins, tu peux manger du crabe en conserve à volonté ! Et c'est pas du maquereau !」",,
2192,"Le manger, c'est l'enfer, le gâcher, c'est aussi l'enfer. Devenons <des Shura ne|gardiens de temple> craignant pas d'être absents à la 5e période de cours, et apportons la paix à ces démons de fer―――",,
2193,"Hum, les ingrédients viennent du marché Nakayama et de la firme Macoy de la ville basse !」",,えー、食材は下町のなんでも商会、マーケット中山からの提供です！」
2196,"「Allez, Shizuki, n'hésite pas à te servir. Il y a encore plein d'ouvre-boîtes.」",,「ほら、静希も食べようぜー。缶切りならまだあるからさー」
2234,「Ta gueule nous dérange ! T'étais pas censé zoner du côté de la cafétéria ?」,,「テメエらのバカ顔にはこりごりだって、学食に陣取ってたんじゃなかったのかよー！」
2257,"「Ah... Non, nous autres, on a le corps fragile.... On va manger nos boîtes de conserve, peinards dans notre coin, d'accord ?」",,「あー……いや、僕ら、ちょっと体弱いんで……すみっちょで缶詰食べてますね？」
2267,"Voyant sûrement le dos qui s'éloignait comme une opportunité, Kinomi marmonna une jérémiade de sorte que seuls ses camarades puissent<r>l'entendre.",,
2276,"「Quoiii ?!!! Attends, c'est une véritable condamnation à mort ?! Le conseil étudiant est vraiment tyrannique !!!」",,@o「げぇぇぇ!!!?　ちょ、それ事実上の死刑宣告じゃん!?　生徒^会まじ横暴ー！！！！」
2333,,1,
2340,"D'après toi, pourquoi m'a-t-elle confié cette tâche ?」",,あいつ、どうして俺にこんな役させたと思う？」
2348,,0,
2349,,0,
2351,「Ça montre à quel point ça m'a étonné.,,「いや、それほどのショックだったってワケだ。
2359,"「Merde, t'aurais pu le dire avant que je mange ! Et moi qui me suis dit que c'était trop bon !」",,「クソ、食う前に言えよな！　信じられねえぐらい美味いと思っちまったじゃねえか！」
2383,"「...... Je crois qu'il y a comme un léger malentendu, mais on verra ça après. D'abord, raconte-moi de quel drame tu parles.」",,「……君の言葉には誤解が含まれてるけど、それは後にする。それより、一年前の惨劇って？」
2410,Il se montrait si obstiné qu'Aozaki a fini par perdre patience. Elle l'a rejeté d'une manière que j'hésite un peu à décrire à haute voix.」,,あまりにしつこいんで蒼崎も堪忍袋の緒が切れたんだろう。ちょっと、口にするのは憚られる方法でふったんだよ」
2447,"...... Ainsi, si Sōjūrō était vraiment amoureux d'Aoko, en tant qu'ami, il ne pouvait décemment pas faire quelque chose d'aussi grossier que le faire changer d'avis.",,
2458,"「...... C'est bon, j'ai compris. Arrêtons là cette conversation. Et puis, ce ne sont pas mes affaires de savoir quelle femme tu choisiras.」",,
2464,"Ce n'est pas comme si Aozaki détestait le type qu'elle a battu. En retournant le problème, ça ne veut pas dire qu'elle aime quelqu'un avec qui elle est aimable.",2,蒼崎はケンカをした相手だろうと別に嫌うワケじゃない。逆に言えば、親切にしたって別に好かれるワケでもない。
2465,J'en suis un bon exemple.」,0,いい例が俺だ」
2481,,0,
2482,,1,
2488,"“Je garderai ça dans un coin de ma tête”, dit Sōjūrō tout en regardant<r>l'horloge.",,
2513,"「Arisato. Où est Shizuki, numéro de place 12 ?」",,
2547,,0,
2566,"Il y avait tellement de choses dans sa vie citadine qui lui auraient semblé impossibles dans sa vie précédente que, paradoxalement, il prenait la ville pour un lieu où littéralement tout pouvait arriver.",,
2574,"Sōjūrō, petit nouveau en ville, croyait à tort que tous les adolescents de son âge fréquentaient ce lycée, mais en réalité, il n'était pas si loin que ça de la vérité.",,
2477,"「Tobimaru. Si je résume bien, tu veux juste faire l'éloge d'Aozaki ?」",,「いまの話を総合すると、君はたんに惚気たいのか？」
2487,"Ce n'est pas comme si cette princesse allait aimer quelqu'un qui lui a fait plaisir, ou détester quelqu'un parce qu'il a été vache avec elle.」",,いいコトをすれば好かれる、気に入らないコトをすれば嫌われる、ってワケじゃねえんだよ、あのお姫さまは」
2490,「Tobimaru. Tu n'as plus rien à me dire ?」,,「もう君からの話はないか？」
2523,"Ah, Kinomi est un idiot, alors il ne compte pas.」",,あ、木乃美くんはバカだから別だけど」
2546,"Je suis misanthrope, alors j'aime bien la personne que tu es......",,俺は人間嫌いだから、そんなおまえさんが気に入ってたりするんだが……
2555,"Mais peut-être qu'en ville, c'était quelque chose de possible. C'est ça que je voulais vérifier.」",,けど、都会じゃもしかしてそれも有りなのかもしれないだろ。確かめたかったのはそこなんだ」
2560,"Cet endroit regorge de choses inexistantes en montagne. Tout y est possible. Alors, je me disais qu'il y avait peut-être des gens capables de faire ça.」",,ここは山に無い物があふれている、何でもありの場所だ。だから、それぐらいやってのける人だって、もしかしているのかなと」
2574,"Sōjūrō, petit nouveau en ville, croyait à tort que tous les adolescents de son âge fréquentaient ce lycée, mais en réalité, il n'était pas si loin que ça de la vérité.",,町にやってきて日の浅い草十郎は、同い年の少年少女は『みなこの学校の生徒である』と誤認していたのだが、幸か不幸か結論として間違いではなかった。
2615,"Je ne veux pas ! Tu sais ce que je ne veux pas ? Je ne veux pas être pris par la peau du cou et rangé avec des imbéciles juste pour faire les comptes ! J'en suis certain, dans le monde des adultes où règnent l'envie et la jalousie, mon cœur sera rapidement englouti et dissous comme un vulgaire comprimé dans un verre d'eau !」",,ああイヤだイヤだ、何がイヤかってバカどもと雁首ならべて金勘定するのがイヤだ！　ったく、嫉妬渦巻く大人の世界じゃ俺のオブラートみたいな心なんてぱっくり呑まれて溶けちまうコト請け合いだろうさ！」
2673,,2,
2708,Ce serait du gâchis d'utiliser de la mémoire pour quelque chose d'aussi trivial. Déjà que le pourcentage d'utilisation des capacités du cerveau est minuscule.」,,そんなどうでもいい事に容量を使っちゃもったいないわよ？　ただでさえ脳の覚醒部分が少ないのに」
2718,,2,
2784,「Je vois. C'est pour cette raison que tu en es venu à la conversation de tout à l'heure.,,
2790,Il aurait aimé qu'elle arrête d'émettre une aura meurtrière tout en faisant un sourire angélique.,,
2796,"Tobimaru découvrait ce nouveau fait, mais ce n'était pas comme si ça allait changer quelque chose à la situation.",,そんな新事実を発見した鳶丸だが、だからといってこの場がどうにかなる訳でもない。
2835,,1,
2836,"「Quand le Petit Sō est sorti et que tu fixais le mur, le carillon a sonné.<r>Ça ne te dérange pas, présidente ? De sécher la cinquième période ?」",,
2857,"Il était actuellement treize heures sept. En courant, il était possible de parcourir juste à temps la distance qui séparait la salle du conseil étudiant du premier étage et la salle de la classe A au bout du deuxième étage.",,
2903,"Mon petit Sō, jusqu'à maintenant, ton taux de capture était de 100 %, pas vrai ? Tu veux bien aller voir ?」",,
2917,"Contrairement au rez-de-chaussée et à ses cent appareils, le premier étage comptait environ quatre-vingts machines. Il y avait des sièges vides ici et là, mais pour une soirée, le nombre de clients était convenable.",,
3007,"En quelques mots,",,つまり、
3008,voilà ce qu'il s'était passé la veille.,,昨日こんな事があった。
3025,"...Hey diddle diddle, the cat and the fiddle,",,"……Hey diddle diddle,The cat and the fiddle,"
3026,"The cow jumped over the moon,",,"The cow jump'd over the moon,"
3044,"Rien qu'en respirant, j'avais l'impression que mon corps se gelait de<r>l'intérieur.",,
3071,"L'ombre à trente pieds derrière moi sur la droite, avec les quatre pattes au sol, leva la main droite comme pour faire un signe―――",,
3089,「―――<Connexion.|Set>」,,
3096,"Généralement, les Mages utilisaient la méthode du transfert. Qu'il y ait un lien physique ou non, il suffisait d'injecter le prana dans le dispositif.",,たいていの魔術師は転移方式だ。有線にしろ無線にしろ、式に魔力を注げばいい。
3179,"Même s'ils ont l'air tout-puissants, ils sont en fait assez étroits d'esprit.",,
3225,「Hum ?,,「ん？
3230,「Oui. Je ne suis pas présidente du conseil étudiant pour rien. J'avais déjà réuni toutes les informations nécessaires.,,
3226,"Ah, de mon côté, tout se passe comme prévu.",,あ、こっちは予定通りよ。
3261,"On appelle Barrière un périmètre dans lequel la zone que l'on veut enfermer est isolée du monde extérieur, quelle que soit la méthode employée.",,
3274,"Si c'est pas la perfection, alors qu'est-ce qui l'est, Alice ?」",,これで完璧じゃなかったら何が完璧なのよ？」
3327,Elle vit sur l'extérieur une trace montrant que l'on avait retiré de force<r>l'étiquette.,,Pour forcer le retour à la ligne
3332,"「J'ai oublié son nom, mais c'est la même que celle qui apparaît dans <un roman chinois|La Pérégrination vers l'Ouest>.」",,「名前は忘れたけど、中国の小説に出てきたのと同じよ」
3334,"「Tu veux dire l'histoire des frères qui gardaient la caverne de Lotus ? Alors, c'est la même chose que cette gourde rouge ?",,「それって蓮華洞の番人の話？　じゃ、あの赤い瓢箪と同じなわけ？
3338,"「Pas la gourde rouge, mais la flasque de suif en jade.」",,「赤い瓢箪じゃなくて、羊脂玉の浄瓶の方」
3372,"「Mais comme Yamashiro est tout de suite venu me voir, pour me charger de faire intégrer Shizuki dans un club car il ne l'avait pas encore fait, je n'ai pas eu la force d'investiguer sur les activités de tous les étudiants de<r>l'école.」",,
3378,,0,
3389,La réponse de Sōjūrō et ce qu'on lui avait dit à la fin de son enfance<r>s'entremêlèrent.,,
3409,,0,
3482,"Pour prendre quelqu'un en chasse, il me faudra donc faire avec<r>l'environnement......』",,
3512,"Honnêtement, elle n'était pas sûre de pouvoir s'en sortir sans l'appui<r>d'Alice.",,
3522,Elle plaça un marque-page et se leva pour rapporter le livre dans sa chambre.,,
3524,Ses yeux froids se reflétaient sur la fenêtre qui laissait voir la nuit au-dehors.,,
3553,"「Oui. Les attaques en traître ne me plaisent décidément pas. Si je dois le tuer, je le ferai à la loyale, après lui en avoir expliqué la raison.",,「ええ。騙し討ちは趣味じゃないから。殺すにしても正々堂々、正面から理由を言った後にする。
3558,"Je ne peux pas faire comme toi, alors je pensais opter pour un lieu où il n'est physiquement pas possible de s'échapper...... Tu as une idée ?」",,私は有珠のようにはいかないから、物理的に逃げられない場所にしようと思うんだけど……なにかアイデアない？」
3619,Aoko saisit l'enveloppe et commença à parcourir les documents à<r>l'intérieur.,,
3620,"À présent, elle était dans son monde et ne faisait même plus attention à Tobimaru.",,そこからは完全に彼女ひとりの世界で、鳶丸に対して気を配ってさえいない。
3687,"Les mots “académie pour jeunes filles” sonnaient bien, mais en toute franchise, on ne voyait pas souvent l'uniforme de l'académie pour filles Reien.",,
3698,"「Même si elle est élève dans une autre école, je ne pense pas que le fait de se trouver devant le portail...... soit un problème...... mais......」",,「他校の生徒でも、校門前にいるぐらいなら……別に問題はないと思う……けど……」
3713,"「Hé, poussez pas ! Poussez-vous derrière ! Je veux pouvoir m'enfuir dans l'école !」",,
3754,La conversation prit fin là-dessus. Il ne restait plus qu'à résister au vent glacial.,,
3768,"Tournant le dos à Alice, Aoko dévisagea sévèrement l'élève qui<r>s'approchait.",,
3782,Il se trouve juste que le club de natation n'est pas très occupé jusqu'à<r>l'été.」,,
3793,,0,
3810,「...... Shizuki. Tu te rappelles de ma question d'hier ? Celle où je te demandais si tu préférais courir ou nager.,,
3827,"À part ça...... Shizuki, tu en penses quoi, toi ? Est-ce que je semble fatiguée ?」",,
3833,"「Eh bien, plutôt que fatiguée, tu as l'air pleine de vie. Comme un loup qui était contraint de labourer un champ jusqu'à présent, et qui est excité de pouvoir enfin retourner à la chasse.」",,「そうだな、疲れているというより生き生きしているように見える。仕方なく畑をたがやしていた狼が、久しぶりに狩りにでる事になって気炎をあげている感じだ」
3880,"Après tout, l'adversaire était une créature redoutable. Même si ce n'était qu'une excuse purement égoïste, cela atténuait les scrupules d'utiliser un fusil.",,
3922,Il regarda à la dérobée la bicyclette posée contre la clôture entourant<r>l'immeuble.,,
3930,"Les examens étant proches, il était rentré une heure plus tôt que<r>d'habitude.",,
3958,"Une grande roue ingénieusement mais abondamment décorée, dont on prétendait qu'elle défiait les limites des techniques architecturales de<r>l'époque.",,
3959,“C'est parfait. On y a mis tout ce qui est nécessaire à un bon parc<r>d'attractions.”,,Pour forcer le retour à la ligne
4018,"Je pense d'ailleurs que j'y suis allée un peu fort, mais comme tu mettais du temps à arriver, j'en ai profité pour m'amuser un peu.”",,自分でもやりすぎだって呆れたもんだけど、貴方が遊園地に来るのが遅かったから。ちょっと興に乗っちゃって”
4064,"Par-dessus le marché, elle avait ajouté une instruction absurde qui stipulait qu'il devrait courir à toutes jambes dès que le bâtiment se mettrait à trembler.",,
4080,"Jusqu'à maintenant, il s'en était rappelé parfaitement, mais probablement à cause du stress, la tête de Sōjūrō commençait à<r>tourner―――",,Pour forcer le retour à la ligne
4092,,2,
4103,Il ne lui avait pas fait gagner de temps du tout.,,
4166,"“<Vivo in somno. Solitarie putresco in inferis|Je vis dans le sommeil. Je pourris, seule sous terre.>",,“Vivo in somno. Solitarie putresco in inferis.
4167,"<Hic dies meus obitus dies, et meus nativus dies. Te obeam.|Aujourd'hui est l'anniversaire de ma mort et celui de ma naissance. Je viens à ta rencontre.>”",,"@oHic dies meus obitus dies, et meus nativus dies. Te obeam.”"
4194,"C'est sans importance. Même si la situation est critique, il n'y a que les coups directs de “l'Attaque de Finn” que je dois absolument<r>éviter―――!",,Pour forcer le retour à la ligne
4206,“...<Initio erraveramus. Dum vivimus dolores sunt.|Tout n'était que méprise. Si seulement je n'étais jamais venue au monde.>,,@o“―――Initio erraveramus. Dum vivimus dolores sunt.
4207,"<Nemo adiuvat. Nemo adiuvat. Nemo adiuvat.|Que quelqu'un me conjure, conjure, conjure, conjure, conjure, conjure, conjure――― !>”",,Nemo adiuvat. Nemo adiuvat. Nemo adiuvat.”
4218,"“... <Venite, Venite, Venite, meum sepulchrum veniteeeeeeee|... Bienvenue, bienvenue, dans ma tombe, bienvenuuuuuuue...>...”",,"“……Venite, Venite, Venite, meum sepulchrum ^veniteeeeeeee……”"
4225,"En voyant le plafond tomber juste devant elle, Aoko reprit ses esprits.",,
4253,allant du sous-sol qui s'effondrait vers le rez-de-chaussée en train de<r>s'écrouler.,,Pour forcer le retour à la ligne
4292,<Je t'attire chez moi.|Venite domum meam.>,,
4293,"<Une mort horrible, horrible.|Luto simile somnium.>",,
4294,<Deviens poussière puis susurre.|et pulveri simile cotidianum.>,,
4295,"<Perce le cœur qui a quitté cette poitrine,|Cor privo.>",,
4297,“<Je t'apporte la mort.|Te iudico.>”,,
4362,"“...... Il n'a pas accompli son rôle, mais il a assuré pour le service après-vente. Je peux bien tenir ma promesse.”",,“……役割は果たさなかったけど、アフターケアは合格だし。約束は、守らなくちゃね”
4392,Une pèlerine noire flottait au-dessus de la grande place du parc<r>d'attractions.,,降り立つ黒衣。
4396,,1,
4406,Le grand labyrinthe divertissait bien des clients grâce à sa superficie et ses allures d'aventure éphémère.,,
4412,"Même s'ils venaient tous deux à disparaître au cours du prochain siècle, ils faisaient partie des divertissements incontournables dans les parcs<r>d'attractions.",,
4422,「Il ne fait pas totalement sombre...... Je me demande s'il y a encore de<r>l'électricité.」,,
4463,"「Si tu veux savoir ce que je faisais, c'est exactement ce que ça a l'air<r>d'être.",,
4483,Je considère quiconque qui perturbe mes sentiments comme un ennemi.」,,私は、私の感情を乱す奴が敵なのよ」
4496,"Mais comme ça, tu as compris, n'est-ce pas ? Surtout que c'est la deuxième fois pour toi.」",,でもこれで分かったでしょ？　二度目だものね、貴方にとっては」
4596,"Je me sens en forme aujourd'hui. Et puis, je suis confiante quand il s'agit d'utiliser efficacement le prana―――Hmm, je pense pouvoir tirer encore, disons, trente mitraillages ? Avec la même puissance que celui de tout à<r>l'heure.」",,
4602,"Si tu parviens à t'enfuir jusqu'à ce que je les aie toutes tirées, tu auras gagné. Tout du moins, pour aujourd'hui.」",,そこまで逃げ切ればあなたの勝ちよ。とりあえず、今日のところはね」
4603,"『...... Elle parle d'aujourd'hui, mais je me demande s'il y aura un<r>lendemain......』",,
4684,"Il n'y avait aucune échappatoire au bout du parcours. Plus il s'enfuyait, plus il s'acculait lui-même. C'était une guillotine en forme de coquille<r>d'escargot.",,
4752,"Il avait encore de la marge, aussi bien physiquement que mentalement parlant.",,
4764,"...... C'était une autre histoire,",,
4765,"mais sans exagérer, elle représentait pour lui l'erreur de toute une vie.",,
4781,Son visage semblait exprimer à la fois un souhait un peu triste et de la résignation.,,
4793,"「C'est normal que ça fasse peur. Même moi, je pense que c'est plutôt effrayant.",,
4801,"「Je t'ai déjà dit que je le savais, non ?」",,「分かってるって言ってるでしょ」
4851,la “fille” rétractait son bras allongé grâce à un mécanisme inconnu.,,どのような機巧か、“彼女”は伸びきった腕を収納していく。
4865,,0,
4891,"En l'espace d'une seconde, le Snap d'Aoko frappa directement le bras de la marionnette et en dévia la trajectoire, puis explosa sur le corps de<r>l'ennemi.",,Pour forcer le retour à la ligne
4902,"“<Vivo in somno. Solitarie putresco in inferis|Je vis dans le sommeil. Je pourris, seule sous terre.>.",,“Vivo in somno. Solitarie putresco in inferis.
4903,"<Hic dies meus obitus dies, et meus nativus dies. Te obeam.|Aujourd'hui est l'anniversaire de ma mort et de ma naissance. Je viens à ta rencontre.>”",,"@oHic dies meus obitus dies, et meus nativus dies. Te obeam.”"
4909,"“<Mea anima immortalis. Autem mea futura necata sunt|Je suis immortelle, mais mon futur a été annihilé.>.",center,“Mea anima immortalis. Autem mea futura necata sunt.
4910,<Manes sum. Animam definire ambiguum est|Je suis un spectre. La vie est une notion vague.>.,center,Manes sum. Animam definire ambiguum est.
