Ligne,Texte,Traduction
1714,指定外のアルバイトを疑うのなら、まず“働き先は一生徒につき一件だけ”という規則を改めてください」,"Si vous le soupçonnez de travailler dans des lieux non recommandés par l'école, alors commencez par modifier le règlement qui stipule qu'un élève ne peut avoir qu'un seul emploi.」"
1826,「そうですね。いつもは夜に呼ばれて、神父さまとだけお話をしていますから。唯架さんとは……,"「Effectivement. D'habitude, on m'appelle la nuit, et je ne fais que discuter avec le prêtre. Avec toi......"
1953,「……はあ。よく分からないですけど、ピンチの時はここに転がりこめばいいんですね？」,"「...... Hmm. Je ne comprends pas trop, mais si jamais on se retrouve dans une situation difficile, on peut se rendre ici, c'est ça ?」"
2176,オレさあ、昨日店の残り物もらいすぎたんだよ。春巻だよ春巻。それを見た親父がさあ、貰ったモンは残すなってうるさくてさあ。食いもん、春巻きしかねーんだわ」,"Hier, j'ai reçu plein de restes du magasin. Des rouleaux de printemps ! Quand mon père a vu ça, il m'a cassé les oreilles à me dire qu'il ne fallait pas gâcher ce qu'on nous donne. Résultat, je n'ai que ça à manger.」"
2193,えー、食材は下町のなんでも商会、マーケット中山からの提供です！」,"Oooh, les ingrédients viennent du marché Nakayama et de la firme Macoy de la ville basse !」"
2196,「ほら、静希も食べようぜー。缶切りならまだあるからさー」,"「Allez, Shizuki, n'hésite pas à te servir. Il y a encore plein d'ouvre-boîtes.」"
2234,「テメエらのバカ顔にはこりごりだって、学食に陣取ってたんじゃなかったのかよー！」,「Ta gueule nous dérange ! T'étais pas censé zoner du côté de la cafétéria ?」
2257,「あー……いや、僕ら、ちょっと体弱いんで……すみっちょで缶詰食べてますね？」,"「Ah... Non, nous autres, on a le corps fragile.... On va manger nos boîtes de conserve, peinards dans notre coin, d'accord ?」"
2276,@o「げぇぇぇ!!!?　ちょ、それ事実上の死刑宣告じゃん!?　生徒^会まじ横暴ー！！！！」,"「Quoiii ?!!! Attends, c'est une véritable condamnation à mort ?! Le conseil étudiant est vraiment tyrannique !!!」"
2340,あいつ、どうして俺にこんな役させたと思う？」,"D'après toi, pourquoi m'a-t-elle confié cette tâche ?」"
2351,「いや、それほどのショックだったってワケだ。,「Ça montre à quel point ça m'a étonné.
2359,「クソ、食う前に言えよな！　信じられねえぐらい美味いと思っちまったじゃねえか！」,"「Merde, t'aurais pu le dire avant que je mange ! Et moi qui me suis dit que c'était trop bon !」"
2383,「……君の言葉には誤解が含まれてるけど、それは後にする。それより、一年前の惨劇って？」,"「...... Je crois qu'il y a comme un léger malentendu, mais on verra ça après. D'abord, raconte-moi de quel drame tu parles.」"
2410,あまりにしつこいんで蒼崎も堪忍袋の緒が切れたんだろう。ちょっと、口にするのは憚られる方法でふったんだよ」,Il se montrait si obstiné qu'Aozaki a fini par perdre patience. Elle l'a rejeté d'une manière que j'hésite un peu à décrire à haute voix.」
2464,蒼崎はケンカをした相手だろうと別に嫌うワケじゃない。逆に言えば、親切にしたって別に好かれるワケでもない。,"Ce n'est pas comme si Aozaki détestait le type qu'elle a battu. En retournant le problème, ça ne veut pas dire qu'elle aime quelqu'un avec qui elle est aimable."
2465,いい例が俺だ」,J'en suis un bon exemple.」
2477,「いまの話を総合すると、君はたんに惚気たいのか？」,"「Tobimaru. Si je résume bien, tu veux juste faire l'éloge d'Aozaki ?」"
2487,いいコトをすれば好かれる、気に入らないコトをすれば嫌われる、ってワケじゃねえんだよ、あのお姫さまは」,"Ce n'est pas comme si cette princesse allait aimer quelqu'un qui lui a fait plaisir, ou détester quelqu'un parce qu'il a été vache avec elle.」"
2490,「もう君からの話はないか？」,「Tobimaru. Tu n'as plus rien à me dire ?」
2523,あ、木乃美くんはバカだから別だけど」,"Ah, Kinomi est un idiot, alors il ne compte pas.」"
2546,俺は人間嫌いだから、そんなおまえさんが気に入ってたりするんだが……,"Je suis misanthrope, alors j'aime bien la personne que tu es......"
2555,けど、都会じゃもしかしてそれも有りなのかもしれないだろ。確かめたかったのはそこなんだ」,"Mais peut-être qu'en ville, c'était quelque chose de possible. C'est ça que je voulais vérifier.」"
2560,ここは山に無い物があふれている、何でもありの場所だ。だから、それぐらいやってのける人だって、もしかしているのかなと」,"Cet endroit regorge de choses inexistantes en montagne. Tout y est possible. Alors, je me disais qu'il y avait peut-être des gens capables de faire ça.」"
2574,町にやってきて日の浅い草十郎は、同い年の少年少女は『みなこの学校の生徒である』と誤認していたのだが、幸か不幸か結論として間違いではなかった。,"Sôjûrô, petit nouveau en ville, croyait à tort que tous les adolescents de son âge fréquentaient ce lycée, et en réalité, il n'était pas si loin que ça de la vérité."
2615,ああイヤだイヤだ、何がイヤかってバカどもと雁首ならべて金勘定するのがイヤだ！　ったく、嫉妬渦巻く大人の世界じゃ俺のオブラートみたいな心なんてぱっくり呑まれて溶けちまうコト請け合いだろうさ！」,"Je ne veux pas ! Tu sais ce que je ne veux pas ? Je ne veux pas être pris par la peau du cou et rangé avec des imbéciles pour faire les comptes ! J'en suis certain, dans le monde des adultes où règnent l'envie et la jalousie, mon cœur sera rapidement englouti et dissous comme un vulgaire comprimé dans un verre d'eau !」"
2708,そんなどうでもいい事に容量を使っちゃもったいないわよ？　ただでさえ脳の覚醒部分が少ないのに」,Ce serait du gâchis d'utiliser de la mémoire pour quelque chose d'aussi trivial. Déjà que le pourcentage d'utilisation des capacités du cerveau est minuscule.」
2796,そんな新事実を発見した鳶丸だが、だからといってこの場がどうにかなる訳でもない。,"Tobimaru découvrait ce nouveau fait, mais ce n'était pas comme si ça allait changer quelque chose à la situation."
3007,つまり、,"En quelques mots,"
3008,昨日こんな事があった。,voilà ce qu'il s'était passé la veille.
3025,"……Hey diddle diddle,The cat and the fiddle,","...Hey diddle diddle, the cat and the fiddle,"
3026,"The cow jump'd over the moon,","The cow jumped over the moon,"
3096,たいていの魔術師は転移方式だ。有線にしろ無線にしろ、式に魔力を注げばいい。,"Généralement, les Mages utilisaient la méthode du transfert. Qu'il y ait un lien physique ou non, il suffisait d'injecter le prana dans le dispositif."
3225,「ん？,「Hum ?
3226,あ、こっちは予定通りよ。,"Ah, de mon côté, tout se passe comme prévu."
3274,これで完璧じゃなかったら何が完璧なのよ？」,"Si c'est pas la perfection, alors qu'est-ce qui l'est, Alice ?」"
3332,「名前は忘れたけど、中国の小説に出てきたのと同じよ」,"「J'ai oublié son nom, mais c'est la même que celle qui apparaît dans <un roman chinois|La Pérégrination vers l'Ouest>.」"
3334,「それって蓮華洞の番人の話？　じゃ、あの赤い瓢箪と同じなわけ？,"「Tu veux dire l'histoire des frères qui gardaient la caverne de Lotus ? Alors, c'est la même chose que cette gourde rouge ?"
3338,「赤い瓢箪じゃなくて、羊脂玉の浄瓶の方」,"「Pas la gourde rouge, mais la flasque de suif en jade.」"
3553,「ええ。騙し討ちは趣味じゃないから。殺すにしても正々堂々、正面から理由を言った後にする。,"「Oui. Les attaques en traître ne sont pas à mon goût. Si je dois le tuer, je le ferai à la loyale, après lui en avoir expliqué la raison."
3558,私は有珠のようにはいかないから、物理的に逃げられない場所にしようと思うんだけど……なにかアイデアない？」,"Je ne peux pas faire comme toi, alors je pensais opter pour un lieu où il n'est physiquement pas possible de s'échapper...... Tu as une idée ?」"
3620,そこからは完全に彼女ひとりの世界で、鳶丸に対して気を配ってさえいない。,"À présent, elle était dans son monde et ne faisait même plus attention à Tobimaru."
3698,「他校の生徒でも、校門前にいるぐらいなら……別に問題はないと思う……けど……」,"「Même si elle est élève dans une autre école, je ne pense pas que le fait de se trouver devant le portail...... soit un problème...... mais......」"
3833,「そうだな、疲れているというより生き生きしているように見える。仕方なく畑をたがやしていた狼が、久しぶりに狩りにでる事になって気炎をあげている感じだ」,"「Eh bien, plutôt que fatiguée, tu as l'air pleine de vie. Comme un loup qui était contraint de labourer un champ jusqu'à présent, et qui est excité de pouvoir enfin retourner à la chasse.」"
4018,自分でもやりすぎだって呆れたもんだけど、貴方が遊園地に来るのが遅かったから。ちょっと興に乗っちゃって”,"Je pense d'ailleurs que j'y suis allée un peu fort, mais comme tu mettais du temps à arriver, j'en ai profité pour m'amuser un peu.”"
4166,“Vivo in somno. Solitarie putresco in inferis.,"""<Vivo in somno. Solitarie putresco in inferis|Je vis dans le sommeil. Je pourris, seule sous terre.>"
4167,"@oHic dies meus obitus dies, et meus nativus dies. Te obeam.”","<Hic dies meus obitus dies, et meus nativus dies. Te obeam.|Aujourd'hui est l'anniversaire de ma mort et celui de ma naissance. Je viens à ta rencontre.>”"
4206,@o“―――Initio erraveramus. Dum vivimus dolores sunt.,"""...<Initio erraveramus. Dum vivimus dolores sunt.|Tout n'était que méprise. Si seulement je n'étais jamais venue au monde.>"
4207,Nemo adiuvat. Nemo adiuvat. Nemo adiuvat.”,"<Nemo adiuvat. Nemo adiuvat. Nemo adiuvat.|Que quelqu'un me conjure, conjure, conjure, conjure, conjure, conjure, conjure, conjure, conjure――― !>"""
4218,"“……Venite, Venite, Venite, meum sepulchrum ^veniteeeeeeee……”","“... <Venite, Venite, Venite, meum sepulchrum veniteeeeeeee|... Bienvenue, bienvenue, dans ma tombe, bienvenuuuuuuue...>...”"
4362,“……役割は果たさなかったけど、アフターケアは合格だし。約束は、守らなくちゃね”,"“...... Il n'a pas accompli son rôle, mais il a assuré pour le service après-vente. Je peux bien tenir ma promesse.”"
4392,降り立つ黒衣。,Une pèlerine noire flottait au-dessus de la grande place du parc d'attractions.
4483,私は、私の感情を乱す奴が敵なのよ」,Je considère quiconque qui perturbe mes sentiments comme un ennemi.」
4496,でもこれで分かったでしょ？　二度目だものね、貴方にとっては」,"Mais comme ça, tu as compris, n'est-ce pas ? Surtout que c'est la deuxième fois pour toi.」"
4602,そこまで逃げ切ればあなたの勝ちよ。とりあえず、今日のところはね」,"Si tu parviens à t'enfuir jusqu'à ce que je les aie toutes tirées, tu auras gagné. Tout du moins, pour aujourd'hui.」"
4801,「分かってるって言ってるでしょ」,"「Je t'ai déjà dit que je le savais, non ?」"
4851,どのような機巧か、“彼女”は伸びきった腕を収納していく。,la “fille” rétractait son bras allongé grâce à un mécanisme inconnu.
4902,“Vivo in somno. Solitarie putresco in inferis.,"""<Vivo in somno. Solitarie putresco in inferis|Je vis dans le sommeil. Je pourris, seule sous terre.>."
4903,"@oHic dies meus obitus dies, et meus nativus dies. Te obeam.”","<Hic dies meus obitus dies, et meus nativus dies. Te obeam.|Aujourd'hui est l'anniversaire de ma mort et de ma naissance. Je viens à ta rencontre.>"""
4909,“Mea anima immortalis. Autem mea futura necata sunt.,"""<Mea anima immortalis. Autem mea futura necata sunt|Je suis immortelle, mais mon futur a été annihilé.>."
4910,Manes sum. Animam definire ambiguum est.,<Manes sum. Animam definire ambiguum est|Je suis un spectre. La vie est une notion vague.>.
4911,"Te odi, et te amo. Conveniamus in somnio ipso.”","<Te odi, et te amo. Conveniamus in somnio ipso.|Toi, l'être haï, toi, l'être aimé. Je prie pour que nous nous voyons en rêve.>"""
4924,“Proximi mihi neglegentes fuerunt. Omnes nos peccantes,"""<Proximi mihi neglegentes fuerunt. Omnes nos peccantes fuimus|Le voisinage était indifférent avec moi. Nous sommes tous pécheurs,>,"
4925,"fuimus, et omnes nos eidem fuimus, omnes nos peccatores","<et omnes nos eidem fuimus, omnes nos peccatores sumus|nous étions coupables et semblables.>."
4926,"sumus. Venite domum meam. Luto simile somnium,","<Venite domum meam. Luto simile somnium|Bienvenue chez moi. Que ta mort soit horrible,>,"
4927,et pulveri simile cotidianum. Cor privo.”,"<et pulveri simile cotidianum. Cor privo.|deviens poussière et murmure. Perce le cœur qui a quitté cette poitrine,>"""
4928,“「オマエニ、死ヲ」”,"""<JE T'APPORTE LA MORT.|Te iudico.>"""
4954,「なんで俺を連れていってるんだ？」,"「Euh, pourquoi tu m'emmènes avec toi ?」"
4981,彼女の同居人レベルなら、あんなジャミングはそれこそ腕が触れた時点で弾き、接触しようとした相手の回路を逆に焼き切ってしまうだろう。,"Si elle avait été au niveau de sa colocataire, ce brouillage aurait rebondi au moment même où le bras l'avait touché, et aurait au contraire brûlé le Circuit adverse."
5047,"@o“Nemo meum funus meminit, qui doluit exstinctus est.","""<Nemo meum funus meminit, qui doluit exstinctus est|Plus personne ne se rappelle de mon enterrement. Les proches endeuillés ont aussi disparu.>."
5048,Initio erraveramus. Dum vivimus dolores sunt.,"<Initio erraveramus. Dum vivimus dolores sunt|Depuis le départ, nous nous trompions. C'est douloureux de vivre.>."
5049,Nemo adiuvat.”,"<Nemo adiuvat|Par pitié, que quelqu'un me sauve.>."""
5151,“Vivo in somno. Solitarie putresco in inferis.,"""Vivo in somno. Solitarie putresco in inferis."
5152,"@oHic dies meus obitus dies, et meus nativus dies. Te obeam.”","Hic dies meus obitus dies, et meus nativus dies. Te obeam."""
5211,“Mea anima immortalis. Autem mea futura necata sunt.,"""Mea anima immortalis. Autem mea futura necata sunt."
5212,Manes sum. Animam definire ambiguum est.”,"Manes sum. Animam definire ambiguum est."""
5228,この距離ならこの攻撃、といったテンプレートを行うだけの殺戮機巧なら対応できると、青子は己の運に賭けたのだ。,Aoko avait parié qu'elle pourrait faire face à son adversaire si celui-ci n'était qu'une machine à tuer capable d'un nombre d'actions précis dans une situation donnée.
5267,“Intellectus non necessarius est. Pius quiescat.,"“<Intellectus non necessarius est. Pius quiescat|Renonce à ta droiture, dis adieu à ta piété.>."
5268,"O nostra essentia ablata fuit,","<O nostra essentia ablata fuit,|Nous sommes des bêtes, nous nous entre-dévorons, cette vie n'est que décoration.>"
5269,ratio fixa tantum est. Doloris initium cerebrum fuit”,<ratio fixa tantum est. Doloris initium cerebrum fuit.|Donc libère-toi de ton intelligence―――>”
5286,“Vivo in somno. Solitarie putresco in inferis.,"""<Vivo in somno. Solitarie putresco in inferis.|Je vis dans le sommeil. Je pourris toute seule dans la terre.>"
5287,"@oHic dies meus obitus dies, et meus nativus dies. Te obeam.”","<Hic dies meus obitus dies, et meus nativus dies. Te obeam.|Aujourd'hui est l'anniversaire de ma mort, et celui de ma naissance. Je viens à ta rencontre.>"""
5293,人形の動力源である呪いの詩は、近寄る者に病をもたらす防衛機巧にもなっている。,"Le poème maudit, la source de sa puissance, servait aussi de système de défense qui rendait malade quiconque s'en approchait."
5361,「……下で隠れていようとか思わなかったの？,「...... Tu n'as pas pensé à te cacher en bas ?
5451,せっかくだし二人で帰りましょう。その方が貴女らしいわ。帰りしな、人形の話でも聞かせてちょうだい」,"Puisque je suis là, rentrons ensemble, Aoko. Ce serait davantage dans ton style. Par la même occasion, tu me parleras de la marionnette.」"
5453,いいから帰れ帰れ、ぐうたら有珠。部屋に閉じこもって役に立たない椋鳥でも作ってろっての」,"C'est bon, va paresser ailleurs, Alice. Enferme-toi dans ta chambre et va fabriquer tes étourneaux sans intérêt.」"
5462,まだ半端にそっち側なの？　それとも情でも移った？」,"Tu es encore de leur côté, Aoko ? Ou bien, tu t'es prise d'affection pour lui ?」"
5549,「相変わらずお堅いこと。その殻、一段と独りよがりになってるんじゃない？」,"「Tu es toujours aussi têtue. Mais tu ne trouves pas que tu es encore plus égoïste que d'habitude, Alice ?」"
5664,「まあね。それよりこっちの方が現実的だし」,"「Non. Et puis, c'est plus réaliste de tenter ma chance ici que là-bas.」"
5724,……もう、いいから行って。慣れているもの、私は。でも貴方は違う。こういうの初めてでしょ？,"...... Ça suffit, maintenant, vas-y. J'ai l'habitude de tout ça. Mais c'est différent pour toi. C'est la première fois que tu es confronté à ce genre de chose, non ?"
6031,夜の王たる自分を敬わぬばかりか、あんな、あからさまに挑戦状をたたき付けられては、怒りの収めようがない。,"Non seulement elle ne vénérait pas le roi de la nuit qu'il était, mais en plus, elle lui avait clairement lancé un défi. Il n'y avait aucun moyen de calmer sa colère."
6406,「蒼崎のことだ、アレにぜったい気付いていない……！」,"「C'est d'Aozaki qu'on parle, je suis sûr qu'elle ne l'a pas remarquée......!」"
6497,食べ物を粗末にするのはよくないと思う！」,"Je pense que même dans ces circonstances, ce n'est pas bien de gaspiller de la nourriture !」"
6550,もちろん幸い、話しかけられた彼には、そんな彼女のいじらしさに気付く余裕も情緒も、ありはしなかったのだが。,"Par chance, la personne à qui elle s'était adressée n'avait à l'évidence ni le calme ni le tact nécessaires pour réaliser cet aspect peu glorieux de la jeune fille."
6627,………冗談じゃ、,......... Ce n'est pas...
6628,ない。,une blague.
6647,腰の入った一撃は、見事なまでに彼の意識を刈り取った。,Son coup asséné en pivotant de tout son corps lui avait magnifiquement fait perdre conscience.
6700,くるくると回りだす大小のゴーラウンド。,Le petit carrousel tournoyant sur lui-même.
6908,「―――」,「―――」
6946,「アイツらは……？」,"「Aozaki, et eux......?」"
7017,「……あのね。いま私たちを取り囲んでるのはオマケにすぎないの。,"「...... Écoute. Je te préviens, mais les trucs qui nous encerclent en ce moment ne sont rien d'autre que des hors-d'œuvre."
7026,たとえば川がないと目を覚まさない怪物もいる。この遊園地、噴水はあるけど川はないでしょ？　元になった童話しばりなの、あの子の使い魔は」,"Par exemple, il y a un monstre qui ne se réveillera pas s'il n'y a pas de rivière à proximité. Dans ce parc d'attractions, il n'y a que des fontaines, pas vrai ? Ses familiers sont des contes de fées prisonniers de leurs mythes.」"
7028,「遊園地に川がないのは不幸中の幸いね。もしあったら、もっと直接制圧に向いた奴が出てきてた」,"「Dans notre malheur, on a de la chance qu'il n'y ait pas de rivière ici. S'il y en avait eu une, elle aurait permis l'apparition d'une monstruosité spécialisée dans l'annihilation pure et simple.」"
7112,「っ、なんかどうしようもないぞ！,"「On dirait qu'on ne peut rien faire, Aozaki !"
7140,「あの子を捕まえるのは！？」,"「Aozaki, et si on attrapait cette fille ?!」"
7168,「それはイヤだ！　とりあえず逃げよう！」,"「Pas question ! Pour le moment, fuyons !」"
7206,「青子の事だから、時計台ごと私を焼き払いにくるかと思ったけど」,"「C'est dommage. Comme il s'agit d'Aoko, je pensais qu'elle serait venue me réduire en cendres avec la tour d'horloge.」"
7259,それがマザーグースに唄われるハンプティ・ダンプティの一節だ。,C'était une des théories de Humpty Dumpty chantée dans Mother Goose.
7489,「……青子は、それを知っているの？」,「...... Est-ce qu'Aoko est au courant de ça ?」
7595,まる二日経ってるし、寝てるだけでも体は弱ってるだろうし。,"Ça doit bien faire deux jours que tu es dans cette chambre à dormir, il a dû s'affaiblir après tout ce temps."
7686,監視するって言うけど、なんでそんな話になってるんだ？　考えられる範囲、悪いコトとかしてないし、そもそも俺を見張っても得なコトなんていっこもないし！,"Tu dis que je suis sous surveillance, mais pourquoi on en est arrivés là ? Pour autant que je sache, je n'ai rien fait de mal, et puis d'abord, tu ne gagneras rien à garder un œil sur moi !"
7687,蒼崎は色々まちがってる！」,Tu te trompes sur pas mal de points !」
7700,「けど、それはあまり意味がないんじゃないか？,"「Mais ça n'a pas vraiment de sens, non ?"
7721,何でもいいから目撃者を殺す、なんて事より、こっちの方がよっぽど穏便でしょ。,"C'est bien moins barbare que de vouloir tuer le témoin à tout prix, n'est-ce pas ?"
7768,「さっきから手を動かしてたから、血は巡ってる。,"「Oui. Je fais des mouvements de la main depuis tout à l'heure, et grâce à ça, mon sang a circulé."
7970,信じられないのは、なんでいちいち実践するかって事だ。魔術は恐いものなんだって言えば済むだろうに。,"Ce que je n'arrive pas à croire, c'est que vous mettiez la Magie en pratique à la moindre occasion. Il aurait suffi de me dire que c'est quelque chose d'effrayant."
7971,それと、ぶっそうな蒼崎の声、聞こえてたぞ」,"Et aussi, j'ai entendu ta voix menaçante, Aozaki.」"
7973,けど、言葉じゃなくてきちんと実感してもらいたかったのは本当よ。,"Mais c'est vrai que je voulais que tu le réalises clairement, et pas seulement avec des mots."
8060,「……魔術の仕組みはよく分からないけど、とにかく自分だけの秘密でないと弱くなるって事か。,"「...... Je ne comprends pas trop le mécanisme de la Magie, mais pour résumer, si vous ne la gardez pas secrète, elle s'affaiblit."
8069,そんなろくでもない連中にルールを敷いたのが、魔術協会っていう集まり。組合みたいなものよ。,"「Et donc, ceux qui ont imposé ces règles à cette bande de types sans valeurs, c'est un rassemblement connu sous le nom d'Association des Mages. C'est comme un syndicat."
8070,“魔術を不朽の神秘とせよ”……というのは、魔術を魔術として永続させるために敷いたルールにすぎないわ」,L'expression : “Gardez la Magie comme un mystère éternel”...... n'est qu'une règle imposée par ces types pour perpétuer la Magie en tant que telle.」
8089,さっき言った魔術協会っていうのは、そんな細々と続いてる連中を束ねる一大組織。魔術師にとって司法の神ってところかしらね」,"L'Association des Mages, dont je parlais à l'instant, est une grande organisation administrant ces gens qui ont continué à exister humblement. Pour les Mages, c'est comme une instance divine.」"
8090,「協会も色んな派閥に分かれるんだけど、大抵の魔術師はロンドンの魔術協会に属している。,"「L'Association est divisée en différentes factions, mais la majorité des Mages sont affiliés à l'Association des Mages de Londres."
8098,魔術師が正体を隠すのは自分のためじゃなく魔術のためだったけど、最近では自分の正体を隠すことの方が重要になっている。,"en gros, les Mages cachaient leur identité, non pas pour eux-mêmes mais pour la Magie. Seulement, ces derniers temps, il est devenu plus important de cacher sa double vie."
8143,ともかく、魔術師っていうのは暇さえあれば魔術の実験をしてる連中で―――自分の家系が伝えてきた秘儀を守るためなら鬼でも悪魔にでもなる」,"Pour résumer, un Mage est un être inhumain qui fait des expériences magiques dès qu'il en a le temps, et qui peut devenir un monstre ou le diable en personne pour protéger les rites secrets transmis dans sa lignée de Mages―――au sein de sa famille.」"
8168,普通は驚いたり恐がったり無視したりするものなのに、どうして魔法使いだ、なんて言った私を信じたの？」,"Normalement, tu devrais être surpris, effrayé, nous ignorer, et finalement faire comme si nous n'existions pas. Alors, pourquoi tu m'as crue lorsque je t'ai dit que j'étais une Magicienne ?」"
8221,蒼崎たちは土地の奪い合いをしているんだな？」,"En d'autres termes, vous vous battez pour ces terres ?」"
8226,静希君も、他に魔術師がいると分かってくれたようだし。,"Et puis, on dirait que Shizuki a compris qu'il y a d'autres Mages à part nous."
8265,今の決意表明―――小瓶を粉々にする―――はどういう^事なのか、と。,Que pouvait donc bien signifier―――la résolution qu'elle venait d'exprimer―――en réduisant la fiole en morceaux ?
8266,「草十郎には“記憶を無くしてもらう”ってコトで話はつけたけど、心の底から納得してないってコトでしょ。,"「J'ai conclu l'affaire à condition de te faire perdre la mémoire, mais au fond, elle n'est pas d'accord."
8324,お察しの通り、私のやるべき事はもう終わってるし？　あとは草十郎が努力する番だから、勝手にすれば？」,"Mais comme tu l'as supposé, j'ai déjà fait tout ce qui était en mon pouvoir. À présent, c'est à ton tour de jouer. Tu n'as qu'à agir comme bon te semble.」"
8513,……だいたい、青子も人にかまけていられる立場じゃないわ。五日もすれば思い知るでしょう。そうすれば―――」,"...... Et puis, Aoko n'est pas dans une position lui permettant de se préoccuper des gens. Au bout de cinq jours, elle réalisera à quel point sa situation est dangereuse. Ainsi―――」"
8558,鏡の機能は侵入者の探索に専念させたいし、彼が迷いこみそうになったら止めてあげて」,"Je voudrais que ses fonctions soient uniquement consacrées à la recherche d'intrus, alors s'il est sur le point de s'y égarer, arrête-le.」"
8634,また、試験で困ったコトがあったら周りに相談しなさい。ひとりで悩んでいても時間の無駄だよ。ほら、学校っていうのは話し相手にだけは困らないから」,"D'ailleurs, si tu as des difficultés pour les examens, demande conseil autour de toi. Ça ne sert à rien de s'apitoyer tout seul dans son coin. À l'école, les personnes à qui parler ne manquent pas.」"
8665,「クラスの女どもとは話してんじゃん。あれでいいんだっつの、オレは羨ましいっつの。,"「Quoi ? Tu parles bien avec les filles de la classe. C'est déjà très bien comme ça, je suis jaloux !"
